id_registro,valor_registro,data_registro,fk_modelo_componente
495,4,"2023-10-10 13:07:59",1
496,8,"2023-10-10 13:07:59",1
497,94374.6875,"2023-10-10 13:07:59",1
498,67270.71874999953,"2023-10-10 13:07:59",1
499,3997871.34375,"2023-10-10 13:07:59",1
500,7,"2023-10-10 13:07:59",1
501,0,"2023-10-10 13:07:59",1
502,2419,"2023-10-10 13:07:59",1
503,0,"2023-10-10 13:07:59",1
504,2419,"2023-10-10 13:07:59",1
505,511.42,"2023-10-10 13:07:59",7
506,395.18,"2023-10-10 13:07:59",7
507,116.24,"2023-10-10 13:07:59",7
508,22.7,"2023-10-10 13:07:59",7
509,8.32022528,"2023-10-10 13:08:00",4
510,3.0516224000000003,"2023-10-10 13:08:00",4
511,5.26860288,"2023-10-10 13:08:00",4
512,3.0516224000000003,"2023-10-10 13:08:00",4
513,63.3,"2023-10-10 13:08:00",4
514,4,"2023-10-10 13:08:02",1
515,8,"2023-10-10 13:08:02",1
516,94375.578125,"2023-10-10 13:08:02",1
517,67272.34374999953,"2023-10-10 13:08:02",1
518,3997887.578125,"2023-10-10 13:08:02",1
519,5,"2023-10-10 13:08:02",1
520,0,"2023-10-10 13:08:02",1
521,2419,"2023-10-10 13:08:02",1
522,0,"2023-10-10 13:08:02",1
523,2419,"2023-10-10 13:08:02",1
524,511.42,"2023-10-10 13:08:02",7
525,395.18,"2023-10-10 13:08:02",7
526,116.24,"2023-10-10 13:08:02",7
527,22.7,"2023-10-10 13:08:02",7
528,8.32022528,"2023-10-10 13:08:02",4
529,3.034607616,"2023-10-10 13:08:02",4
530,5.285617664,"2023-10-10 13:08:02",4
531,3.034607616,"2023-10-10 13:08:02",4
532,63.5,"2023-10-10 13:08:02",4
533,4,"2023-10-10 13:08:04",1
534,8,"2023-10-10 13:08:04",1
535,94376.25,"2023-10-10 13:08:04",1
536,67273.01562499953,"2023-10-10 13:08:04",1
537,3997905.109375,"2023-10-10 13:08:04",1
538,1,"2023-10-10 13:08:04",1
539,0,"2023-10-10 13:08:04",1
